"","Fault Code","Event Description","zoneID"
"Oberon AGC","5008","COM FAULT - AGC 8","5"
"Oberon AGC","5009","COM FAULT - AGC 9","5"
"Oberon AGC","5010","COM FAULT - AGC 10","5"
"Oberon AGC","5011","COM FAULT - AGC 11","5"
"Oberon AGC","5012","COM FAULT - AGC 12","5"
"Oberon AGC","5013","COM FAULT - AGC 13","5"
"Oberon AGC","5014","COM FAULT - AGC 14","5"
"Oberon AGC","5015","COM FAULT - PLC CARDS","5"
"Oberon AGC","5016","COM FAULT - L51POSTFOAM PLC","5"
"Oberon AGC","5017","COM FAULT - L52CONV PLC","5"
"Oberon AGC","5018","COM FAULT - EFLEX","5"
"Oberon AGC","5019","COM FAULT - SAM","5"
"Oberon AGC","5020","COM FAULT - EFLEX MODULE","5"
"Oberon AGC","10001","STARVED- LOAD STA.","5"
"Conveyor Zone 3","10001","ZONE 3 BLOCKED BY PICKUP","8"
"Conveyor Zone 1","10001","CONV ZONE 1 BLOCKED BY TCI","6"
"Conveyor Zone 2","10001","BLOCKED BY CONV ZONE 3","7"
"Oberon AGC","10002","STARVED - VISION STA.","5"
"Oberon AGC","10003","STARVED- STA 1","5"
"Oberon AGC","10004","STARVED- STA 2","5"
"Oberon AGC","10005","STARVED- STA 3","5"
"Oberon AGC","10006","STARVED- STA 4","5"
"Oberon AGC","10007","STARVED- STA 5","5"
"Oberon AGC","10008","STARVED- STA 6","5"
"Oberon AGC","10009","STARVED- STA 7","5"
"Oberon AGC","10010","STARVED - UNLOAD STA","5"
"Conveyor Zone 1","10101","STA 11 BLOCKED BY CHRG STA","6"
"Conveyor Zone 3","10101","STA 41 BLOCKED - REPAIR/CV3","8"
"Conveyor Zone 2","10101","STA 31 BLOCKED BY REPAIR","7"
"Conveyor Zone 2","10102","STA 32 BLOCKED BY REPAIR","7"
"Conveyor Zone 3","10102","STA 42 BLOCKED BY REPAIR","8"
"Conveyor Zone 2","10103","STA 33 BLOCKED BY TCI","7"
"Conveyor Zone 1","10107","CHRG STA BLOCKED BY STA 24","6"
"Conveyor Zone 1","10110","CHRG STA BLOCKED BY STA 24","6"
"Conveyor Zone 2","10110","TCI BLOCKED - REPAIR / CV3","7"
"Conveyor Zone 1","10114","STA 24 BLOCKED BY STA 28","6"
"Conveyor Zone 3","10116","STA 56 BLOCKED BY PICKUP","8"
"Conveyor Zone 3","10117","WAITING ON PICKUP @ EOL","8"
"Conveyor Zone 1","10118","STA 28 BLOCKED BY TCI","6"
"Conveyor Zone 1","10120","CONV ZONE 1 BLOCKED BY TCI","6"
"Conveyor Zone 1","10201","CONV ZONE 1 STARVED BY AGC","6"
"Conveyor Zone 3","10201","ZONE 3 STARVED BY TCI","8"
"Conveyor Zone 2","10201","STARVED BY CONV ZONE 1","7"
"Conveyor Zone 2","10202","TCI ZONE STARVED","7"
"Conveyor Zone 3","10202","CONV ZONE 3 STARVED","8"
"Conveyor Zone 1","10202","CONV ZONE 1 STARVED","6"
"Conveyor Zone 1","10301","STA 11 STARVED BY AGC ZONE","6"
"Conveyor Zone 3","10301","STA 41 STARVED BY TCI","8"
"Conveyor Zone 2","10301","STA 31 STARVED BY CONV ZONE 1","7"
"Conveyor Zone 3","10307","STA 47 STARVED BY TCI","8"
"Conveyor Zone 1","10307","CHARGE STA STARVED BY TIPUP","6"
"Conveyor Zone 1","10314","STA 24 STARVED BY CHRG STA","6"
"Conveyor Zone 1","10318","STA 28 STARVED BY STA 24","6"
"Oberon AGC","11001","BLOCKED - LOAD STA","5"
"Oberon AGC","11002","BLOCKED - VISION STA","5"
"Oberon AGC","11003","BLOCKED- STA 1","5"
"Oberon AGC","11004","BLOCKED- STA 2","5"
"Oberon AGC","11005","BLOCKED- STA 3","5"
"Oberon AGC","11006","BLOCKED- STA 4","5"
"Oberon AGC","11007","BLOCKED- STA 5","5"
"Oberon AGC","11008","BLOCKED- STA 6","5"
"Oberon AGC","11009","BLOCKED- STA 7","5"
"Oberon AGC","11010","BLOCKED - UNLOAD STA","5"
"Oberon AGC","11011","BLOCKED - MAINT. STA","5"
"Oberon AGC","12001","ZONE DOWN - LOAD STA","5"
"Conveyor Zone 1","12001","HELP CALL - STA 11","6"
"Conveyor Zone 3","12001","HELP CALL - STA 47","8"
"Conveyor Zone 2","12001","HELP CALL - STA 40 TCI","7"
"Conveyor Zone 3","12002","HELP CALL - STA 51","8"
"Conveyor Zone 1","12002","HELP CALL - CHARGE STA","6"
"Oberon AGC","12002","ZONE DOWN - VISION STA","5"
"Oberon AGC","12003","ZONE DOWN - STA 1","5"
"Conveyor Zone 1","12003","HELP CALL - STA 24","6"
"Conveyor Zone 3","12003","HELP CALL - STA 55","8"
"Conveyor Zone 1","12004","HELP CALL - STA 28","6"
